CallFile,Year,Dialect,Site,Bird,Call,UniqueBird,UniqueCall,UniqueName
baju 2.6,1994,Sou,baju,2,6,baju2,baju2.6,1994_Sou_baju 2.6
baju 2.7,1994,Sou,baju,2,7,baju2,baju2.7,1994_Sou_baju 2.7
baju 2.8,1994,Sou,baju,2,8,baju2,baju2.8,1994_Sou_baju 2.8
baju 2.9,1994,Sou,baju,2,9,baju2,baju2.9,1994_Sou_baju 2.9
baju 3.0,1994,Sou,baju,3,0,baju3,baju3.0,1994_Sou_baju 3.0
baju 3.1,1994,Sou,baju,3,1,baju3,baju3.1,1994_Sou_baju 3.1
baju 3.2,1994,Sou,baju,3,2,baju3,baju3.2,1994_Sou_baju 3.2
baju 3.3,1994,Sou,baju,3,3,baju3,baju3.3,1994_Sou_baju 3.3
baju 3.4,1994,Sou,baju,3,4,baju3,baju3.4,1994_Sou_baju 3.4
baju 3.5,1994,Sou,baju,3,5,baju3,baju3.5,1994_Sou_baju 3.5
baju 3.6,1994,Sou,baju,3,6,baju3,baju3.6,1994_Sou_baju 3.6
baju 3.7,1994,Sou,baju,3,7,baju3,baju3.7,1994_Sou_baju 3.7
baju 3.8,1994,Sou,baju,3,8,baju3,baju3.8,1994_Sou_baju 3.8
baju 3.9,1994,Sou,baju,3,9,baju3,baju3.9,1994_Sou_baju 3.9
baju 4.0,1994,Sou,baju,4,0,baju4,baju4.0,1994_Sou_baju 4.0
baju 4.1,1994,Sou,baju,4,1,baju4,baju4.1,1994_Sou_baju 4.1
baju 4.2,1994,Sou,baju,4,2,baju4,baju4.2,1994_Sou_baju 4.2
baju 4.3,1994,Sou,baju,4,3,baju4,baju4.3,1994_Sou_baju 4.3
baju 4.4,1994,Sou,baju,4,4,baju4,baju4.4,1994_Sou_baju 4.4
baju 4.5,1994,Sou,baju,4,5,baju4,baju4.5,1994_Sou_baju 4.5
baju 4.6,1994,Sou,baju,4,6,baju4,baju4.6,1994_Sou_baju 4.6
baju 4.7,1994,Sou,baju,4,7,baju4,baju4.7,1994_Sou_baju 4.7
baju 4.8,1994,Sou,baju,4,8,baju4,baju4.8,1994_Sou_baju 4.8
baju 4.9,1994,Sou,baju,4,9,baju4,baju4.9,1994_Sou_baju 4.9
curu 1.0,1994,Sou,curu,1,0,curu1,curu1.0,1994_Sou_curu 1.0
curu 1.1,1994,Sou,curu,1,1,curu1,curu1.1,1994_Sou_curu 1.1
curu 1.2,1994,Sou,curu,1,2,curu1,curu1.2,1994_Sou_curu 1.2
curu 1.3,1994,Sou,curu,1,3,curu1,curu1.3,1994_Sou_curu 1.3
curu 1.4,1994,Sou,curu,1,4,curu1,curu1.4,1994_Sou_curu 1.4
curu 1.5,1994,Sou,curu,1,5,curu1,curu1.5,1994_Sou_curu 1.5
curu 1.6,1994,Sou,curu,1,6,curu1,curu1.6,1994_Sou_curu 1.6
curu 1.7,1994,Sou,curu,1,7,curu1,curu1.7,1994_Sou_curu 1.7
curu 1.8,1994,Sou,curu,1,8,curu1,curu1.8,1994_Sou_curu 1.8
curu 1.9,1994,Sou,curu,1,9,curu1,curu1.9,1994_Sou_curu 1.9
curu 2.0,1994,Sou,curu,2,0,curu2,curu2.0,1994_Sou_curu 2.0
curu 2.1,1994,Sou,curu,2,1,curu2,curu2.1,1994_Sou_curu 2.1
curu 2.2,1994,Sou,curu,2,2,curu2,curu2.2,1994_Sou_curu 2.2
curu 2.3,1994,Sou,curu,2,3,curu2,curu2.3,1994_Sou_curu 2.3
curu 2.4,1994,Sou,curu,2,4,curu2,curu2.4,1994_Sou_curu 2.4
curu 2.5,1994,Sou,curu,2,5,curu2,curu2.5,1994_Sou_curu 2.5
curu 2.6,1994,Sou,curu,2,6,curu2,curu2.6,1994_Sou_curu 2.6
curu 2.7,1994,Sou,curu,2,7,curu2,curu2.7,1994_Sou_curu 2.7
curu 2.8,1994,Sou,curu,2,8,curu2,curu2.8,1994_Sou_curu 2.8
grand 1.0,1994,Sou,grand,1,0,grand1,grand1.0,1994_Sou_grand 1.0
grand 1.1,1994,Sou,grand,1,1,grand1,grand1.1,1994_Sou_grand 1.1
grand 1.2,1994,Sou,grand,1,2,grand1,grand1.2,1994_Sou_grand 1.2
grand 1.3,1994,Sou,grand,1,3,grand1,grand1.3,1994_Sou_grand 1.3
grand 1.4,1994,Sou,grand,1,4,grand1,grand1.4,1994_Sou_grand 1.4
grand 1.5,1994,Sou,grand,1,5,grand1,grand1.5,1994_Sou_grand 1.5
grand 1.6,1994,Sou,grand,1,6,grand1,grand1.6,1994_Sou_grand 1.6
grand 1.7,1994,Sou,grand,1,7,grand1,grand1.7,1994_Sou_grand 1.7
grand 1.8,1994,Sou,grand,1,8,grand1,grand1.8,1994_Sou_grand 1.8
grand 1.9,1994,Sou,grand,1,9,grand1,grand1.9,1994_Sou_grand 1.9
grand 2.1,1994,Sou,grand,2,1,grand2,grand2.1,1994_Sou_grand 2.1
grand 2.2,1994,Sou,grand,2,2,grand2,grand2.2,1994_Sou_grand 2.2
grand 2.3,1994,Sou,grand,2,3,grand2,grand2.3,1994_Sou_grand 2.3
grand 2.4,1994,Sou,grand,2,4,grand2,grand2.4,1994_Sou_grand 2.4
grand 2.5,1994,Sou,grand,2,5,grand2,grand2.5,1994_Sou_grand 2.5
grand 2.6,1994,Sou,grand,2,6,grand2,grand2.6,1994_Sou_grand 2.6
grand 2.7,1994,Sou,grand,2,7,grand2,grand2.7,1994_Sou_grand 2.7
grand 2.8,1994,Sou,grand,2,8,grand2,grand2.8,1994_Sou_grand 2.8
grand 2.9,1994,Sou,grand,2,9,grand2,grand2.9,1994_Sou_grand 2.9
grand 3.0,1994,Sou,grand,3,0,grand3,grand3.0,1994_Sou_grand 3.0
grand 3.1,1994,Sou,grand,3,1,grand3,grand3.1,1994_Sou_grand 3.1
grand 3.2,1994,Sou,grand,3,2,grand3,grand3.2,1994_Sou_grand 3.2
grand 3.3,1994,Sou,grand,3,3,grand3,grand3.3,1994_Sou_grand 3.3
grand 3.4,1994,Sou,grand,3,4,grand3,grand3.4,1994_Sou_grand 3.4
grand 3.5,1994,Sou,grand,3,5,grand3,grand3.5,1994_Sou_grand 3.5
psapa 1.0,1994,Sou,psapa,1,0,psapa1,psapa1.0,1994_Sou_psapa 1.0
psapa 1.1,1994,Sou,psapa,1,1,psapa1,psapa1.1,1994_Sou_psapa 1.1
psapa 1.2,1994,Sou,psapa,1,2,psapa1,psapa1.2,1994_Sou_psapa 1.2
psapa 1.3,1994,Sou,psapa,1,3,psapa1,psapa1.3,1994_Sou_psapa 1.3
psapa 1.4,1994,Sou,psapa,1,4,psapa1,psapa1.4,1994_Sou_psapa 1.4
psapa 1.5,1994,Sou,psapa,1,5,psapa1,psapa1.5,1994_Sou_psapa 1.5
psapa 1.6,1994,Sou,psapa,1,6,psapa1,psapa1.6,1994_Sou_psapa 1.6
psapa 1.7,1994,Sou,psapa,1,7,psapa1,psapa1.7,1994_Sou_psapa 1.7
psapa 1.8,1994,Sou,psapa,1,8,psapa1,psapa1.8,1994_Sou_psapa 1.8
psapa 1.9,1994,Sou,psapa,1,9,psapa1,psapa1.9,1994_Sou_psapa 1.9
psapa 2.0,1994,Sou,psapa,2,0,psapa2,psapa2.0,1994_Sou_psapa 2.0
psapa 2.1,1994,Sou,psapa,2,1,psapa2,psapa2.1,1994_Sou_psapa 2.1
psapa 2.2,1994,Sou,psapa,2,2,psapa2,psapa2.2,1994_Sou_psapa 2.2
psapa 2.3,1994,Sou,psapa,2,3,psapa2,psapa2.3,1994_Sou_psapa 2.3
psapa 2.4,1994,Sou,psapa,2,4,psapa2,psapa2.4,1994_Sou_psapa 2.4
psapa 2.5,1994,Sou,psapa,2,5,psapa2,psapa2.5,1994_Sou_psapa 2.5
psapa 2.6,1994,Sou,psapa,2,6,psapa2,psapa2.6,1994_Sou_psapa 2.6
psapa 2.7,1994,Sou,psapa,2,7,psapa2,psapa2.7,1994_Sou_psapa 2.7
psapa 2.8,1994,Sou,psapa,2,8,psapa2,psapa2.8,1994_Sou_psapa 2.8
psapa 2.9,1994,Sou,psapa,2,9,psapa2,psapa2.9,1994_Sou_psapa 2.9
tarc 1.0,1994,Sou,tarc,1,0,tarc1,tarc1.0,1994_Sou_tarc 1.0
tarc 1.1,1994,Sou,tarc,1,1,tarc1,tarc1.1,1994_Sou_tarc 1.1
tarc 1.2,1994,Sou,tarc,1,2,tarc1,tarc1.2,1994_Sou_tarc 1.2
tarc 1.3,1994,Sou,tarc,1,3,tarc1,tarc1.3,1994_Sou_tarc 1.3
tarc 1.4,1994,Sou,tarc,1,4,tarc1,tarc1.4,1994_Sou_tarc 1.4
tarc 1.5,1994,Sou,tarc,1,5,tarc1,tarc1.5,1994_Sou_tarc 1.5
tarc 1.6,1994,Sou,tarc,1,6,tarc1,tarc1.6,1994_Sou_tarc 1.6
tarc 2.0,1994,Sou,tarc,2,0,tarc2,tarc2.0,1994_Sou_tarc 2.0
tarc 2.1,1994,Sou,tarc,2,1,tarc2,tarc2.1,1994_Sou_tarc 2.1
tarc 2.2,1994,Sou,tarc,2,2,tarc2,tarc2.2,1994_Sou_tarc 2.2
tarc 2.3,1994,Sou,tarc,2,3,tarc2,tarc2.3,1994_Sou_tarc 2.3
tarc 2.4,1994,Sou,tarc,2,4,tarc2,tarc2.4,1994_Sou_tarc 2.4
tarc 2.5,1994,Sou,tarc,2,5,tarc2,tarc2.5,1994_Sou_tarc 2.5
tarc 2.6,1994,Sou,tarc,2,6,tarc2,tarc2.6,1994_Sou_tarc 2.6
tarc 2.7,1994,Sou,tarc,2,7,tarc2,tarc2.7,1994_Sou_tarc 2.7
tarc 2.8,1994,Sou,tarc,2,8,tarc2,tarc2.8,1994_Sou_tarc 2.8
tarc 2.9,1994,Sou,tarc,2,9,tarc2,tarc2.9,1994_Sou_tarc 2.9
tarc 3.0,1994,Sou,tarc,3,0,tarc3,tarc3.0,1994_Sou_tarc 3.0
tarc 3.1,1994,Sou,tarc,3,1,tarc3,tarc3.1,1994_Sou_tarc 3.1
tarc 3.2,1994,Sou,tarc,3,2,tarc3,tarc3.2,1994_Sou_tarc 3.2
tarc 3.3,1994,Sou,tarc,3,3,tarc3,tarc3.3,1994_Sou_tarc 3.3
tarc 3.4,1994,Sou,tarc,3,4,tarc3,tarc3.4,1994_Sou_tarc 3.4
tarc 3.5,1994,Sou,tarc,3,5,tarc3,tarc3.5,1994_Sou_tarc 3.5
tarc 3.6,1994,Sou,tarc,3,6,tarc3,tarc3.6,1994_Sou_tarc 3.6
tarc 3.7,1994,Sou,tarc,3,7,tarc3,tarc3.7,1994_Sou_tarc 3.7
zapol 1.0,1994,Sou,zapol,1,0,zapol1,zapol1.0,1994_Sou_zapol 1.0
zapol 1.1,1994,Sou,zapol,1,1,zapol1,zapol1.1,1994_Sou_zapol 1.1
zapol 1.2,1994,Sou,zapol,1,2,zapol1,zapol1.2,1994_Sou_zapol 1.2
zapol 1.3,1994,Sou,zapol,1,3,zapol1,zapol1.3,1994_Sou_zapol 1.3
zapol 1.4,1994,Sou,zapol,1,4,zapol1,zapol1.4,1994_Sou_zapol 1.4
zapol 1.5,1994,Sou,zapol,1,5,zapol1,zapol1.5,1994_Sou_zapol 1.5
zapol 1.6,1994,Sou,zapol,1,6,zapol1,zapol1.6,1994_Sou_zapol 1.6
zapol 1.7,1994,Sou,zapol,1,7,zapol1,zapol1.7,1994_Sou_zapol 1.7
zapol 1.8,1994,Sou,zapol,1,8,zapol1,zapol1.8,1994_Sou_zapol 1.8
zapol 1.9,1994,Sou,zapol,1,9,zapol1,zapol1.9,1994_Sou_zapol 1.9
zapol 2.0,1994,Sou,zapol,2,0,zapol2,zapol2.0,1994_Sou_zapol 2.0
zapol 2.1,1994,Sou,zapol,2,1,zapol2,zapol2.1,1994_Sou_zapol 2.1
zapol 2.2,1994,Sou,zapol,2,2,zapol2,zapol2.2,1994_Sou_zapol 2.2
zapol 2.3,1994,Sou,zapol,2,3,zapol2,zapol2.3,1994_Sou_zapol 2.3
zapol 2.4,1994,Sou,zapol,2,4,zapol2,zapol2.4,1994_Sou_zapol 2.4
zapol 2.5,1994,Sou,zapol,2,5,zapol2,zapol2.5,1994_Sou_zapol 2.5
zapol 2.6,1994,Sou,zapol,2,6,zapol2,zapol2.6,1994_Sou_zapol 2.6
zapol 2.7,1994,Sou,zapol,2,7,zapol2,zapol2.7,1994_Sou_zapol 2.7
zapol 2.8,1994,Sou,zapol,2,8,zapol2,zapol2.8,1994_Sou_zapol 2.8
zapol 2.9,1994,Sou,zapol,2,9,zapol2,zapol2.9,1994_Sou_zapol 2.9
zapol 3.0,1994,Sou,zapol,3,0,zapol3,zapol3.0,1994_Sou_zapol 3.0
zapol 3.1,1994,Sou,zapol,3,1,zapol3,zapol3.1,1994_Sou_zapol 3.1
zapol 3.2,1994,Sou,zapol,3,2,zapol3,zapol3.2,1994_Sou_zapol 3.2
zapol 3.3,1994,Sou,zapol,3,3,zapol3,zapol3.3,1994_Sou_zapol 3.3
zapol 3.4,1994,Sou,zapol,3,4,zapol3,zapol3.4,1994_Sou_zapol 3.4
zapol 3.5,1994,Sou,zapol,3,5,zapol3,zapol3.5,1994_Sou_zapol 3.5
zapol 3.6,1994,Sou,zapol,3,6,zapol3,zapol3.6,1994_Sou_zapol 3.6
zapol 3.7,1994,Sou,zapol,3,7,zapol3,zapol3.7,1994_Sou_zapol 3.7
zapol 3.8,1994,Sou,zapol,3,8,zapol3,zapol3.8,1994_Sou_zapol 3.8
zapol 3.9,1994,Sou,zapol,3,9,zapol3,zapol3.9,1994_Sou_zapol 3.9
zapol 4.0,1994,Sou,zapol,4,0,zapol4,zapol4.0,1994_Sou_zapol 4.0
zapol 4.1,1994,Sou,zapol,4,1,zapol4,zapol4.1,1994_Sou_zapol 4.1
zapol 4.2,1994,Sou,zapol,4,2,zapol4,zapol4.2,1994_Sou_zapol 4.2
zapol 4.3,1994,Sou,zapol,4,3,zapol4,zapol4.3,1994_Sou_zapol 4.3
zapol 4.4,1994,Sou,zapol,4,4,zapol4,zapol4.4,1994_Sou_zapol 4.4
zapol 4.5,1994,Sou,zapol,4,5,zapol4,zapol4.5,1994_Sou_zapol 4.5
zapol 4.6,1994,Sou,zapol,4,6,zapol4,zapol4.6,1994_Sou_zapol 4.6
zapol 4.7,1994,Sou,zapol,4,7,zapol4,zapol4.7,1994_Sou_zapol 4.7
zapol 4.8,1994,Sou,zapol,4,8,zapol4,zapol4.8,1994_Sou_zapol 4.8
zapol 4.9,1994,Sou,zapol,4,9,zapol4,zapol4.9,1994_Sou_zapol 4.9
gisas 1.0,1994,Sou,gisas,1,0,gisas1,gisas1.0,1994_SouBil_gisas 1.0
gisas 1.1,1994,Sou,gisas,1,1,gisas1,gisas1.1,1994_SouBil_gisas 1.1
gisas 1.2,1994,Sou,gisas,1,2,gisas1,gisas1.2,1994_SouBil_gisas 1.2
gisas 1.3,1994,Sou,gisas,1,3,gisas1,gisas1.3,1994_SouBil_gisas 1.3
gisas 1.4,1994,Sou,gisas,1,4,gisas1,gisas1.4,1994_SouBil_gisas 1.4
gisas 1.5,1994,Sou,gisas,1,5,gisas1,gisas1.5,1994_SouBil_gisas 1.5
gisas 1.6,1994,Sou,gisas,1,6,gisas1,gisas1.6,1994_SouBil_gisas 1.6
gisas 1.7,1994,Sou,gisas,1,7,gisas1,gisas1.7,1994_SouBil_gisas 1.7
gisas 1.8,1994,Sou,gisas,1,8,gisas1,gisas1.8,1994_SouBil_gisas 1.8
gisas 1.9,1994,Sou,gisas,1,9,gisas1,gisas1.9,1994_SouBil_gisas 1.9
gisas 2.0,1994,Sou,gisas,2,0,gisas2,gisas2.0,1994_SouBil_gisas 2.0
gisas 2.1,1994,Sou,gisas,2,1,gisas2,gisas2.1,1994_SouBil_gisas 2.1
gisas 2.2,1994,Sou,gisas,2,2,gisas2,gisas2.2,1994_SouBil_gisas 2.2
gisas 2.3,1994,Sou,gisas,2,3,gisas2,gisas2.3,1994_SouBil_gisas 2.3
gisas 2.4,1994,Sou,gisas,2,4,gisas2,gisas2.4,1994_SouBil_gisas 2.4
gisas 2.5,1994,Sou,gisas,2,5,gisas2,gisas2.5,1994_SouBil_gisas 2.5
gisas 2.6,1994,Sou,gisas,2,6,gisas2,gisas2.6,1994_SouBil_gisas 2.6
gisas 2.7,1994,Sou,gisas,2,7,gisas2,gisas2.7,1994_SouBil_gisas 2.7
gisas 2.8,1994,Sou,gisas,2,8,gisas2,gisas2.8,1994_SouBil_gisas 2.8
gisas 2.9,1994,Sou,gisas,2,9,gisas2,gisas2.9,1994_SouBil_gisas 2.9
gisas 3.0,1994,Sou,gisas,3,0,gisas3,gisas3.0,1994_SouBil_gisas 3.0
gisas 3.1,1994,Sou,gisas,3,1,gisas3,gisas3.1,1994_SouBil_gisas 3.1
gisas 3.2,1994,Sou,gisas,3,2,gisas3,gisas3.2,1994_SouBil_gisas 3.2
gisas 3.3,1994,Sou,gisas,3,3,gisas3,gisas3.3,1994_SouBil_gisas 3.3
gisas 3.4,1994,Sou,gisas,3,4,gisas3,gisas3.4,1994_SouBil_gisas 3.4
gisas 3.5,1994,Sou,gisas,3,5,gisas3,gisas3.5,1994_SouBil_gisas 3.5
gisas 3.6,1994,Sou,gisas,3,6,gisas3,gisas3.6,1994_SouBil_gisas 3.6
gisas 3.7,1994,Sou,gisas,3,7,gisas3,gisas3.7,1994_SouBil_gisas 3.7
gisas 3.8,1994,Sou,gisas,3,8,gisas3,gisas3.8,1994_SouBil_gisas 3.8
gisas 3.9,1994,Sou,gisas,3,9,gisas3,gisas3.9,1994_SouBil_gisas 3.9
jeron.s1.0,1994,Sou,jerons,1,0,jerons1,jerons1.0,1994_SouBil_jeron.s1.0
jeron.s1.1,1994,Sou,jerons,1,1,jerons1,jerons1.1,1994_SouBil_jeron.s1.1
jeron.s1.2,1994,Sou,jerons,1,2,jerons1,jerons1.2,1994_SouBil_jeron.s1.2
jeron.s1.3,1994,Sou,jerons,1,3,jerons1,jerons1.3,1994_SouBil_jeron.s1.3
jeron.s1.4,1994,Sou,jerons,1,4,jerons1,jerons1.4,1994_SouBil_jeron.s1.4
jeron.s1.5,1994,Sou,jerons,1,5,jerons1,jerons1.5,1994_SouBil_jeron.s1.5
jeron.s1.6,1994,Sou,jerons,1,6,jerons1,jerons1.6,1994_SouBil_jeron.s1.6
jeron.s1.7,1994,Sou,jerons,1,7,jerons1,jerons1.7,1994_SouBil_jeron.s1.7
jeron.s1.8,1994,Sou,jerons,1,8,jerons1,jerons1.8,1994_SouBil_jeron.s1.8
jeron.s1.9,1994,Sou,jerons,1,9,jerons1,jerons1.9,1994_SouBil_jeron.s1.9
jeron.s2.0,1994,Sou,jerons,2,0,jerons2,jerons2.0,1994_SouBil_jeron.s2.0
jeron.s2.1,1994,Sou,jerons,2,1,jerons2,jerons2.1,1994_SouBil_jeron.s2.1
jeron.s2.2,1994,Sou,jerons,2,2,jerons2,jerons2.2,1994_SouBil_jeron.s2.2
jeron.s2.3,1994,Sou,jerons,2,3,jerons2,jerons2.3,1994_SouBil_jeron.s2.3
jeron.s2.4,1994,Sou,jerons,2,4,jerons2,jerons2.4,1994_SouBil_jeron.s2.4
jeron.s2.5,1994,Sou,jerons,2,5,jerons2,jerons2.5,1994_SouBil_jeron.s2.5
jeron.s2.6,1994,Sou,jerons,2,6,jerons2,jerons2.6,1994_SouBil_jeron.s2.6
jeron.s2.7,1994,Sou,jerons,2,7,jerons2,jerons2.7,1994_SouBil_jeron.s2.7
jeron.s2.8,1994,Sou,jerons,2,8,jerons2,jerons2.8,1994_SouBil_jeron.s2.8
