CallFile,Year,Dialect,Site,UniqueBird,UniqueCall
2005_06_06_PARC_B3_C4.aif,2005,Nica,PARC,PARC_B3,PARC_B3_C4
2005_06_06_PARC_B3_C5.aif,2005,Nica,PARC,PARC_B3,PARC_B3_C5
2005_06_06_PARC_B3_C6.aif,2005,Nica,PARC,PARC_B3,PARC_B3_C6
2005_06_06_PARC_B3_C7.aif,2005,Nica,PARC,PARC_B3,PARC_B3_C7
2005_06_06_PARC_B3_C8.aif,2005,Nica,PARC,PARC_B3,PARC_B3_C8
2005_06_06_PARC_B3_C9.aif,2005,Nica,PARC,PARC_B3,PARC_B3_C9
2005_06_06_PARC_B5_C0.aif,2005,Nica,PARC,PARC_B5,PARC_B5_C0
2005_06_06_PARC_B5_C1.aif,2005,Nica,PARC,PARC_B5,PARC_B5_C1
2005_06_06_PARC_B5_C2.aif,2005,Nica,PARC,PARC_B5,PARC_B5_C2
2005_06_06_PARC_B5_C3.aif,2005,Nica,PARC,PARC_B5,PARC_B5_C3
2005_06_06_PARC_B5_C4.aif,2005,Nica,PARC,PARC_B5,PARC_B5_C4
2005_06_06_PARC_B5_C5.aif,2005,Nica,PARC,PARC_B5,PARC_B5_C5
2005_06_06_PARC_B5_C6.aif,2005,Nica,PARC,PARC_B5,PARC_B5_C6
2005_06_06_PARC_B5_C7.aif,2005,Nica,PARC,PARC_B5,PARC_B5_C7
2005_06_06_PARC_B5_C8.aif,2005,Nica,PARC,PARC_B5,PARC_B5_C8
2005_06_06_PARC_B5_C9.aif,2005,Nica,PARC,PARC_B5,PARC_B5_C9
2005_06_06_PARC_B6_C0.aif,2005,Nica,PARC,PARC_B6,PARC_B6_C0
2005_06_06_PARC_B6_C1.aif,2005,Nica,PARC,PARC_B6,PARC_B6_C1
2005_06_06_PARC_B6_C2.aif,2005,Nica,PARC,PARC_B6,PARC_B6_C2
2005_06_06_PARC_B6_C3.aif,2005,Nica,PARC,PARC_B6,PARC_B6_C3
2005_06_06_PARC_B6_C4.aif,2005,Nica,PARC,PARC_B6,PARC_B6_C4
2005_06_06_PARC_B6_C5.aif,2005,Nica,PARC,PARC_B6,PARC_B6_C5
